num_sorteo;fecha_sorteo;num_1;num_2;num_3;num_4;num_5;num_6;sum_num;promedio;minimo;maximo;rango;desviacion_estandar;mediana;dia_semana;mes_sorteo;año_sorteo
54;20/10/2001;13;15;22;28;30;38;146;24,33333333;13;38;25;9,521904571;25;20;10;2001
55;24/10/2001;13;17;27;31;39;42;169;28,16666667;13;42;29;11,60028735;29;24;10;2001
56;27/10/2001;2;18;22;33;35;45;155;25,83333333;2;45;43;15,14485611;27,5;27;10;2001
57;31/10/2001;5;7;10;15;16;22;75;12,5;5;22;17;6,348228099;12,5;31;10;2001
58;3/11/2001;3;15;20;28;30;40;136;22,66666667;3;40;37;12,92542714;24;3;11;2001
59;7/11/2001;2;8;24;26;36;45;141;23,5;2;45;43;16,29417074;25;7;11;2001
60;10/11/2001;11;13;16;34;37;40;151;25,16666667;11;40;29;13,19722193;25;10;11;2001
61;14/11/2001;7;9;22;25;32;37;132;22;7;37;30;12,0664825;23,5;14;11;2001
62;17/11/2001;19;21;23;24;31;44;162;27;19;44;25;9,273618495;23,5;17;11;2001
63;21/11/2001;6;18;25;29;31;42;151;25,16666667;6;42;36;12,25425096;27;21;11;2001
64;24/11/2001;19;20;22;32;41;45;179;29,83333333;19;45;26;11,26794865;27;24;11;2001
65;28/11/2001;16;17;19;29;31;33;145;24,16666667;16;33;17;7,652886166;24;28;11;2001
66;1/12/2001;17;22;24;28;34;37;162;27;17;37;20;7,536577473;26;1;12;2001
67;5/12/2001;17;19;20;21;34;35;146;24,33333333;17;35;18;7,991662322;20,5;5;12;2001
68;8/12/2001;2;9;27;33;36;41;148;24,66666667;2;41;39;15,68013605;30;8;12;2001
69;12/12/2001;5;7;17;29;31;32;121;20,16666667;5;32;27;12,23791921;23;12;12;2001
70;15/12/2001;3;13;27;33;42;43;161;26,83333333;3;43;40;16,05511341;30;15;12;2001
71;19/12/2001;11;13;16;33;39;40;152;25,33333333;11;40;29;13,45610147;24,5;19;12;2001
72;22/12/2001;1;9;14;15;25;43;107;17,83333333;1;43;42;14,62076149;14,5;22;12;2001
73;26/12/2001;6;12;30;33;38;43;162;27;6;43;37;14,75127113;31,5;26;12;2001
74;29/12/2001;8;10;12;24;28;31;113;18,83333333;8;31;23;10,00832986;18;29;12;2001
75;2/01/2002;12;14;30;32;38;41;167;27,83333333;12;41;29;12,17237309;31;2;1;2002
76;5/01/2002;19;20;21;22;23;33;138;23;19;33;14;5,099019514;21,5;5;1;2002
77;9/01/2002;2;9;19;27;33;45;135;22,5;2;45;43;15,82087229;23;9;1;2002
78;12/01/2002;1;21;29;30;36;42;159;26,5;1;42;41;14,34921601;29,5;12;1;2002
79;16/01/2002;6;7;17;33;39;44;146;24,33333333;6;44;38;16,53682759;25;16;1;2002
80;19/01/2002;9;10;31;38;42;44;174;29;9;44;35;15,74801575;34,5;19;1;2002
81;23/01/2002;2;7;17;32;41;44;143;23,83333333;2;44;42;17,74730026;24,5;23;1;2002
82;26/01/2002;2;4;16;28;33;34;117;19,5;2;34;32;14,30734077;22;26;1;2002
83;30/01/2002;10;16;20;26;35;37;144;24;10;37;27;10,67707825;23;30;1;2002
84;2/02/2002;1;10;21;23;33;38;126;21;1;38;37;13,84196518;22;2;2;2002
85;6/02/2002;6;11;23;24;36;42;142;23,66666667;6;42;36;13,86602563;23,5;6;2;2002
86;9/02/2002;6;7;9;15;19;33;89;14,83333333;6;33;27;10,20620726;12;9;2;2002
87;13/02/2002;1;5;7;10;16;32;71;11,83333333;1;32;31;11,08903362;8,5;13;2;2002
88;16/02/2002;18;23;24;34;37;42;178;29,66666667;18;42;24;9,352361556;29;16;2;2002
89;20/02/2002;3;6;26;33;34;44;146;24,33333333;3;44;41;16,42761902;29,5;20;2;2002
90;23/02/2002;16;21;27;35;39;42;180;30;16;42;26;10,35374328;31;23;2;2002
91;27/02/2002;4;5;28;39;42;44;162;27;4;44;40;18,28660712;33,5;27;2;2002
92;2/03/2002;6;11;18;28;29;42;134;22,33333333;6;42;36;13,24638315;23;2;3;2002
93;6/03/2002;9;14;18;30;32;37;140;23,33333333;9;37;28;11,20119041;24;6;3;2002
94;9/03/2002;8;16;25;26;27;39;141;23,5;8;39;31;10,55935604;25,5;9;3;2002
95;13/03/2002;5;7;23;29;30;40;134;22,33333333;5;40;35;13,79371838;26;13;3;2002
96;16/03/2002;1;3;24;28;32;43;131;21,83333333;1;43;42;16,63029364;26;16;3;2002
97;20/03/2002;1;4;18;27;34;42;126;21;1;42;41;16,39512123;22,5;20;3;2002
98;23/03/2002;3;19;24;29;41;45;161;26,83333333;3;45;42;15,31556942;26,5;23;3;2002
99;27/03/2002;6;12;26;30;35;37;146;24,33333333;6;37;31;12,62801119;28;27;3;2002
100;30/03/2002;9;22;30;33;38;41;173;28,83333333;9;41;32;11,75443179;31,5;30;3;2002
101;3/04/2002;14;16;17;26;28;41;142;23,66666667;14;41;27;10,21110507;21,5;3;4;2002
102;6/04/2002;9;10;24;26;33;40;142;23,66666667;9;40;31;12,33963803;25;6;4;2002
103;10/04/2002;14;28;30;31;37;39;179;29,83333333;14;39;25;8,841191473;30,5;10;4;2002
104;13/04/2002;1;16;18;36;39;40;150;25;1;40;39;15,79873413;27;13;4;2002
105;17/04/2002;12;15;24;30;39;42;162;27;12;42;30;12,29634092;27;17;4;2002
106;20/04/2002;1;4;27;30;36;42;140;23,33333333;1;42;41;16,96663392;28,5;20;4;2002
107;24/04/2002;16;19;20;23;24;28;130;21,66666667;16;28;12;4,226897996;21,5;24;4;2002
108;27/04/2002;6;13;18;21;30;36;124;20,66666667;6;36;30;10,98483804;19,5;27;4;2002
109;4/05/2002;6;12;36;42;43;44;183;30,5;6;44;38;16,99117418;39;4;5;2002
110;8/05/2002;3;12;16;26;30;41;128;21,33333333;3;41;38;13,67723169;21;8;5;2002
111;11/05/2002;8;15;19;25;30;36;133;22,16666667;8;36;28;10,2257844;22;11;5;2002
112;15/05/2002;1;18;23;27;30;34;133;22,16666667;1;34;33;11,75443179;25;15;5;2002
113;18/05/2002;5;6;12;27;40;41;131;21,83333333;5;41;36;16,46106517;19,5;18;5;2002
114;22/05/2002;3;11;26;40;42;45;167;27,83333333;3;45;42;17,58882221;33;22;5;2002
115;25/05/2002;8;12;25;33;36;38;152;25,33333333;8;38;30;12,73839341;29;25;5;2002
116;29/05/2002;1;2;12;15;25;36;91;15,16666667;1;36;35;13,52651717;13,5;29;5;2002
117;1/06/2002;5;6;13;16;37;39;116;19,33333333;5;39;34;15,05545305;14,5;1;6;2002
118;5/06/2002;5;6;25;27;35;38;136;22,66666667;5;38;33;14,15156057;26;5;6;2002
119;8/06/2002;2;3;15;20;32;37;109;18,16666667;2;37;35;14,49712615;17,5;8;6;2002
120;12/06/2002;8;11;13;29;42;45;148;24,66666667;8;45;37;16,32993162;21;12;6;2002
121;15/06/2002;1;8;10;22;35;44;120;20;1;44;43;16,79285562;16;15;6;2002
122;19/06/2002;2;20;24;28;31;38;143;23,83333333;2;38;36;12,33558538;26;19;6;2002
123;22/06/2002;6;17;30;31;35;38;157;26,16666667;6;38;32;12,22156564;30,5;22;6;2002
124;26/06/2002;8;25;31;35;39;44;182;30,33333333;8;44;36;12,73839341;33;26;6;2002
125;29/06/2002;13;21;22;28;29;45;158;26,33333333;13;45;32;10,8012345;25;29;6;2002
126;3/07/2002;3;26;35;40;43;45;192;32;3;45;42;15,74801575;37,5;3;7;2002
127;6/07/2002;1;11;16;20;40;41;129;21,5;1;41;40;16,03433815;18;6;7;2002
128;10/07/2002;1;27;36;38;41;43;186;31;1;43;42;15,70986951;37;10;7;2002
129;13/07/2002;1;3;6;7;24;41;82;13,66666667;1;41;40;15,69288586;6,5;13;7;2002
130;17/07/2002;4;8;13;27;41;43;136;22,66666667;4;43;39;16,8839174;20;17;7;2002
131;20/07/2002;2;18;26;27;36;44;153;25,5;2;44;42;14,58423807;26,5;20;7;2002
132;24/07/2002;7;12;15;26;28;35;123;20,5;7;35;28;10,78424777;20,5;24;7;2002
133;27/07/2002;4;9;20;22;37;44;136;22,66666667;4;44;40;15,51343504;21;27;7;2002
134;31/07/2002;5;8;13;18;19;24;87;14,5;5;24;19;7,176350047;15,5;31;7;2002
135;3/08/2002;2;4;9;12;42;44;113;18,83333333;2;44;42;19,06217896;10,5;3;8;2002
136;7/08/2002;8;14;21;28;30;43;144;24;8;43;35;12,4739729;24,5;7;8;2002
137;10/08/2002;1;3;12;19;27;42;104;17,33333333;1;42;41;15,52632174;15,5;10;8;2002
138;14/08/2002;5;9;10;14;18;31;87;14,5;5;31;26;9,224966125;12;14;8;2002
139;17/08/2002;9;10;22;23;28;32;124;20,66666667;9;32;23;9,373722135;22,5;17;8;2002
140;21/08/2002;12;15;16;19;42;44;148;24,66666667;12;44;32;14,38981121;17,5;21;8;2002
141;24/08/2002;15;18;19;38;40;42;172;28,66666667;15;42;27;12,5485723;28,5;24;8;2002
142;28/08/2002;15;16;26;33;38;44;172;28,66666667;15;44;29;11,79265308;29,5;28;8;2002
143;31/08/2002;3;9;12;34;35;45;138;23;3;45;42;17,12308383;23;31;8;2002
144;4/09/2002;8;13;21;34;41;42;159;26,5;8;42;34;14,57051818;27,5;4;9;2002
145;7/09/2002;5;9;10;18;29;45;116;19,33333333;5;45;40;15,18771433;14;7;9;2002
146;11/09/2002;1;6;23;30;33;38;131;21,83333333;1;38;37;15,09194045;26,5;11;9;2002
147;14/09/2002;8;17;19;25;39;42;150;25;8;42;34;13,2211951;22;14;9;2002
148;18/09/2002;6;18;19;23;32;33;131;21,83333333;6;33;27;10,02829331;21;18;9;2002
149;21/09/2002;4;11;19;26;27;35;122;20,33333333;4;35;31;11,378342;22,5;21;9;2002
150;25/09/2002;10;20;21;23;28;35;137;22,83333333;10;35;25;8,376554582;22;25;9;2002
151;28/09/2002;16;18;22;40;41;43;180;30;16;43;27;12,6015872;31;28;9;2002
152;2/10/2002;3;5;9;15;31;37;100;16,66666667;3;37;34;14,16568624;12;2;10;2002
153;5/10/2002;6;30;37;38;42;44;197;32,83333333;6;44;38;14,00595112;37,5;5;10;2002
154;9/10/2002;16;20;26;35;41;42;180;30;16;42;26;10,97269338;30,5;9;10;2002
155;12/10/2002;8;11;23;30;40;45;157;26,16666667;8;45;37;15,03883861;26,5;12;10;2002
156;16/10/2002;5;15;18;34;35;36;143;23,83333333;5;36;31;12,98332264;26;16;10;2002
157;19/10/2002;3;4;10;11;17;30;75;12,5;3;30;27;9,974968672;10,5;19;10;2002
158;23/10/2002;6;14;16;18;20;26;100;16,66666667;6;26;20;6,653319973;17;23;10;2002
159;26/10/2002;1;7;11;15;17;24;75;12,5;1;24;23;8,043631021;13;26;10;2002
160;30/10/2002;2;24;27;32;39;44;168;28;2;44;42;14,73770674;29,5;30;10;2002
161;2/11/2002;17;21;27;28;43;44;180;30;17;44;27;11,20714058;27,5;2;11;2002
162;6/11/2002;2;4;14;32;35;38;125;20,83333333;2;38;36;16,15446275;23;6;11;2002
163;9/11/2002;4;5;19;24;31;35;118;19,66666667;4;35;31;12,98717316;21,5;9;11;2002
164;13/11/2002;3;13;32;39;40;41;168;28;3;41;38;16,1245155;35,5;13;11;2002
165;16/11/2002;3;5;11;15;23;27;84;14;3;27;24;9,612491873;13;16;11;2002
166;20/11/2002;1;9;10;28;32;37;117;19,5;1;37;36;14,67991826;19;20;11;2002
167;23/11/2002;11;13;17;33;37;42;153;25,5;11;42;31;13,41268057;25;23;11;2002
168;27/11/2002;11;16;26;30;35;44;162;27;11;44;33;12,16552506;28;27;11;2002
169;30/11/2002;10;16;35;37;41;43;182;30,33333333;10;43;33;13,85159437;36;30;11;2002
170;4/12/2002;2;4;11;22;29;33;101;16,83333333;2;33;31;13,07542224;16,5;4;12;2002
171;7/12/2002;15;22;29;42;44;45;197;32,83333333;15;45;30;12,70301801;35,5;7;12;2002
172;11/12/2002;26;28;30;31;32;42;189;31,5;26;42;16;5,576737397;30,5;11;12;2002
173;14/12/2002;2;9;16;25;32;35;119;19,83333333;2;35;33;13,07542224;20,5;14;12;2002
174;18/12/2002;12;15;21;27;38;45;158;26,33333333;12;45;33;13,01793634;24;18;12;2002
175;21/12/2002;3;15;19;24;25;38;124;20,66666667;3;38;35;11,63901485;21,5;21;12;2002
176;25/12/2002;6;12;13;25;31;44;131;21,83333333;6;44;38;14,21853251;19;25;12;2002
177;28/12/2002;4;7;23;39;40;45;158;26,33333333;4;45;41;17,77263815;31;28;12;2002
178;1/01/2003;3;5;11;14;24;27;84;14;3;27;24;9,797958971;12,5;1;1;2003
179;4/01/2003;8;11;14;28;41;43;145;24,16666667;8;43;35;15,43264937;21;4;1;2003
180;8/01/2003;5;13;20;30;33;39;140;23,33333333;5;39;34;12,94089126;25;8;1;2003
181;11/01/2003;3;5;7;9;16;29;69;11,5;3;29;26;9,669539803;8;11;1;2003
182;15/01/2003;5;13;17;23;24;25;107;17,83333333;5;25;20;7,808115436;20;15;1;2003
183;18/01/2003;4;7;26;36;37;43;153;25,5;4;43;39;16,45296326;31;18;1;2003
184;22/01/2003;4;10;14;21;33;43;125;20,83333333;4;43;39;14,74336009;17,5;22;1;2003
185;25/01/2003;7;18;21;30;31;39;146;24,33333333;7;39;32;11,34313302;25,5;25;1;2003
186;29/01/2003;11;17;23;24;25;38;138;23;11;38;27;9,055385138;23,5;29;1;2003
187;1/02/2003;10;11;16;25;31;40;133;22,16666667;10;40;30;11,95686693;20,5;1;2;2003
188;5/02/2003;5;20;21;25;30;42;143;23,83333333;5;42;37;12,22156564;23;5;2;2003
189;8/02/2003;2;4;8;23;27;32;96;16;2;32;30;12,88409873;15,5;8;2;2003
190;12/02/2003;3;10;20;33;35;36;137;22,83333333;3;36;33;14,07716828;26,5;12;2;2003
191;15/02/2003;19;21;32;33;42;44;191;31,83333333;19;44;25;10,34246908;32,5;15;2;2003
192;19/02/2003;1;3;11;14;28;34;91;15,16666667;1;34;33;13,31790774;12,5;19;2;2003
193;22/02/2003;13;18;23;31;36;42;163;27,16666667;13;42;29;11,08903362;27;22;2;2003
194;26/02/2003;3;4;19;21;26;29;102;17;3;29;26;11,04536102;20;26;2;2003
195;1/03/2003;1;5;16;19;25;42;108;18;1;42;41;14,75127113;17,5;1;3;2003
196;5/03/2003;3;4;6;7;26;29;75;12,5;3;29;26;11,74308307;6,5;5;3;2003
197;8/03/2003;3;5;28;40;44;45;165;27,5;3;45;42;19,19114379;34;8;3;2003
198;12/03/2003;5;7;12;17;19;21;81;13,5;5;21;16;6,565059025;14,5;12;3;2003
199;15/03/2003;3;5;10;31;40;41;130;21,66666667;3;41;38;17,65974707;20,5;15;3;2003
200;19/03/2003;5;17;20;22;36;38;138;23;5;38;33;12,36122971;21;19;3;2003
201;22/03/2003;3;10;17;31;38;39;138;23;3;39;36;15,16575089;24;22;3;2003
202;26/03/2003;17;23;24;26;41;43;174;29;17;43;26;10,52615789;25;26;3;2003
203;29/03/2003;1;2;18;23;34;38;116;19,33333333;1;38;37;15,59059546;20,5;29;3;2003
204;2/04/2003;16;28;33;35;41;42;195;32,5;16;42;26;9,6072889;34;2;4;2003
205;5/04/2003;4;20;25;26;28;40;143;23,83333333;4;40;36;11,77143435;25,5;5;4;2003
206;9/04/2003;15;16;29;31;34;41;166;27,66666667;15;41;26;10,26969652;30;9;4;2003
207;12/04/2003;7;12;17;33;39;40;148;24,66666667;7;40;33;14,43144714;25;12;4;2003
208;16/04/2003;5;7;16;30;33;40;131;21,83333333;5;40;35;14,55220487;23;16;4;2003
209;19/04/2003;13;22;32;33;39;45;184;30,66666667;13;45;32;11,57007635;32,5;19;4;2003
210;23/04/2003;10;15;19;34;36;43;157;26,16666667;10;43;33;13,25770216;26,5;23;4;2003
211;26/04/2003;2;22;25;26;32;37;144;24;2;37;35;12,04989627;25,5;26;4;2003
212;30/04/2003;3;10;13;15;31;42;114;19;3;42;39;14,57394936;14;30;4;2003
213;3/05/2003;8;13;20;21;24;26;112;18,66666667;8;26;18;6,860515044;20,5;3;5;2003
214;7/05/2003;14;22;23;35;41;44;179;29,83333333;14;44;30;11,92336642;29;7;5;2003
215;10/05/2003;27;28;33;39;42;43;212;35,33333333;27;43;16;7,004760286;36;10;5;2003
216;14/05/2003;9;19;25;28;34;45;160;26,66666667;9;45;36;12,37201142;26,5;14;5;2003
217;17/05/2003;7;9;14;19;30;32;111;18,5;7;32;25;10,55935604;16,5;17;5;2003
218;21/05/2003;14;15;19;20;38;44;150;25;14;44;30;12,74362586;19,5;21;5;2003
219;24/05/2003;1;9;11;19;25;45;110;18,33333333;1;45;44;15,47471055;15;24;5;2003
220;28/05/2003;3;8;15;16;19;20;81;13,5;3;20;17;6,655824517;15,5;28;5;2003
221;31/05/2003;1;20;24;27;32;40;144;24;1;40;39;13,2211951;25,5;31;5;2003
222;4/06/2003;1;2;6;15;32;40;96;16;1;40;39;16,45600194;10,5;4;6;2003
223;7/06/2003;4;14;25;32;34;36;145;24,16666667;4;36;32;12,71875256;28,5;7;6;2003
224;11/06/2003;1;4;11;13;19;25;73;12,16666667;1;25;24;8,998147958;12;11;6;2003
225;14/06/2003;1;11;26;34;39;41;152;25,33333333;1;41;40;16,15755757;30;14;6;2003
226;18/06/2003;7;19;24;35;39;45;169;28,16666667;7;45;38;14,11972615;29,5;18;6;2003
227;21/06/2003;28;30;33;34;35;44;204;34;28;44;16;5,54977477;33,5;21;6;2003
228;25/06/2003;20;23;33;37;40;42;195;32,5;20;42;22;9,093954036;35;25;6;2003
229;28/06/2003;3;11;17;26;28;38;123;20,5;3;38;35;12,66096363;21,5;28;6;2003
230;2/07/2003;4;14;20;27;30;33;128;21,33333333;4;33;29;10,94836365;23,5;2;7;2003
231;5/07/2003;12;17;22;26;27;36;140;23,33333333;12;36;24;8,382521498;24;5;7;2003
232;9/07/2003;1;2;23;28;32;40;126;21;1;40;39;16,09968944;25,5;9;7;2003
233;12/07/2003;9;24;27;28;32;39;159;26,5;9;39;30;10,01498877;27,5;12;7;2003
234;16/07/2003;2;3;5;15;26;43;94;15,66666667;2;43;41;16,21933003;10;16;7;2003
235;19/07/2003;10;19;24;27;28;36;144;24;10;36;26;8,831760866;25,5;19;7;2003
236;23/07/2003;14;23;26;30;36;41;170;28,33333333;14;41;27;9,605553949;28;23;7;2003
237;26/07/2003;3;22;23;31;36;37;152;25,33333333;3;37;34;12,62801119;27;26;7;2003
238;30/07/2003;9;22;26;35;40;43;175;29,16666667;9;43;34;12,73446766;30,5;30;7;2003
239;2/08/2003;2;5;7;12;28;30;84;14;2;30;28;12,08304597;9,5;2;8;2003
